age_band,income_quartile,total_borrowers,delinquent_borrowers,delinquency_rate_pct
30s,"Q1 (lowest)",6135,766,12.49
20s,"Q1 (lowest)",4904,592,12.07
40s,"Q1 (lowest)",5431,586,10.79
30s,Q2,5853,620,10.59
40s,Q2,7035,734,10.43
20s,Q2,1672,169,10.11
20s,"Q4 (highest)",162,15,9.26
50s,"Q1 (lowest)",4940,445,9.01
50s,Q2,6429,545,8.48
40s,Q3,8274,627,7.58
30s,Q3,5061,381,7.53
20s,Q3,640,48,7.50
30s,"Q4 (highest)",3011,211,7.01
50s,Q3,7541,465,6.17
40s,"Q4 (highest)",8369,498,5.95
50s,"Q4 (highest)",9592,445,4.64
60+,"Q1 (lowest)",8879,400,4.51
60+,Q3,8379,295,3.52
60+,Q2,9037,294,3.25
60+,"Q4 (highest)",8925,221,2.48
